ConceptScheme URI,http://w3id.org/loc-vocab/,,,,
PREFIX,loc,http://w3id.org/loc-vocab/,,,
PREFIX,aat,http://vocab.getty.edu/aat/,,,
dc:creator,Library of Congress,,,,
dct:rights,https://creativecommons.org/licenses/by/4.0/,,,,
,,,,,
URI,skos:prefLabel@en,skos:exactMatch,skos:closeMatch,skos:broadMatch,skos:narrowMatch
loc:f21c96ad-3103-409b-90af-d083ed163e06,wood,aat:300011914,,,
loc:c84b2819-1865-4eb0-97c1-e842e2c7721c,ink,aat:300015012,,,
loc:71be10c9-0ee0-4008-a7b2-e59b121c7b79,broken,aat:300053083,,,
loc:bcc78dc8-9637-455c-a2b7-e60099818a19,repaired,aat:300053737,,,
loc:ff65e8b4-89f1-4a25-b44d-d955e8cb6e5d,acidic,aat:300056186,,,
loc:dbe22ff9-13ca-4907-9931-acea6e73c5a1,detached,aat:300131111,,,
loc:edec7bcb-d127-4512-9f05-67b52435b12b,distortion,aat:300155059,,,
loc:d80a51e0-d6b6-493c-a5fd-eeb1a7979c02,cut,aat:300234157,,,
loc:dc378ea6-7cad-494a-ba42-31b4eda0742c,lifted,aat:300256571,,,
loc:397089a9-ac53-45bb-a369-c7a24f6426e8,losses,aat:300263354,,,
loc:187b6d65-d706-44f9-85a7-0d4403851574,mold,aat:300378932,,,
loc:1a0795d7-b397-41bb-87dc-ab4425773578,staining,aat:300379497,,,
loc:e645fa14-55fb-4aea-91f6-c47c534d858f,damaged,aat:300404520,,,
loc:5d916c8f-31fc-48a4-9f3e-2f355f3392f3,guarding,,aat:300248893,,
loc:e371875c-61a0-4ccb-8371-44dfbe01d599,stain reduction,,aat:300379343,,
loc:215b20ae-a874-4721-acd8-0987c038dcb6,charcoal,,aat:300012862,,
loc:f71d7869-e425-413f-bd37-33c38e8d046f,etching,,aat:300041365,,
loc:3572aa95-7e9a-48f6-9e31-134f2dafb51b,filling of losses,,aat:300053092,,
loc:9360aee6-8c01-420e-8272-7c09bfffcaad,drying and flattening,,aat:300053758,,
loc:a9d8c22d-2f97-4449-a7c1-129ab0d99102,iron gall ink,,aat:300081023,,
loc:80155d27-5aa6-4e7b-9d6d-1bd6a2f2ced1,lining (process),,aat:300162124,,
loc:04356400-0ef6-4fa2-9a44-cb59df92147b,printer's ink,,aat:300187371,,
loc:6263a37f-1370-4c19-b232-c8190204436d,board,,aat:300202819,,
loc:97e158d7-3ca3-458e-9594-954b45e8e07b,binder's board,,aat:300202819,,
loc:e6bd1262-d5b9-4da1-99ee-fb3102b2fe10,tape removal,,aat:300224146,,
loc:967ee083-e63c-4f0f-b7dc-cc7e9fafce12,lining (material),,aat:300227846,,
loc:0cb43f82-1414-4bea-8b22-dca1aa34430e,clasps,,aat:300239507,,
loc:55ebabda-4d92-4524-a306-e2290e7d714e,hinging,,aat:300254358,,
loc:6ded13fd-8cfc-48d2-8afa-f26800d19689,methylcellulose,,aat:300379550,,
loc:c73f4b95-c0a8-4c9f-916b-1a6ed4a1f33d,sodium CMC,,aat:300379876,,
loc:75fd4fee-032f-41ab-8968-191d2baa77a0,machine made paper,,aat:300411878,,
loc:f095c279-10da-46b4-89f9-95fcbe591d30,sodium hydroxide,,aat:300011726,,
loc:feff19c0-aa31-4378-ae08-57400892248a,leather (calf) ,,aat:300011845,,
loc:f6e3f6ba-a3fb-4c70-9924-a149e95e8576,leather (goat),,aat:300011845,,
loc:117be4d5-9536-49fb-90b0-3cc4779e12fa,leather (sheep),,aat:300011845,,
loc:3524f46a-7d85-4578-b560-d2aa0f5f9498,sheep parchment,,aat:300011851,,
loc:66a80fd8-c482-4191-be88-5dd3b908742e,lead white conversion,,aat:300013754,,
loc:2de08376-1314-4668-b0a7-8987ae3542b4,Asian paper,,aat:300014143,,
loc:c1b9a003-6ef0-4070-8f64-a424beae016d,ink (other),,aat:300015012,,
loc:b5b0cb2b-243c-4200-b408-1e7016a30005,paint/pigment,,aat:300015029,,
loc:a3c95700-1325-4930-ae44-05e647a1e12f,watercolor,,aat:300015045,,
loc:bcf568a8-1f37-4406-884c-c1ad14fbaceb,isopropanol,,aat:300015237,,
loc:76982320-64fb-4cf9-afb8-61368bde16b7,MEK,,aat:300015273,,
loc:916bb481-c1ab-4570-a9a1-5a6ffc4d6eec,crayon,,aat:300022445,,
loc:ba8b789a-897f-479e-a3f1-ada7dc854ffa,ballpoint pen,,aat:300022453,,
loc:dfc4dc7d-b28d-4d20-ab18-9dca40ab3db9,pen,,aat:300022453,,
loc:ed1dc69b-b998-45da-ab17-d29850e971f1,felt tipped pen,,aat:300022458,,
loc:c61e2f47-ffa6-40da-b648-738a17442d9e,marker,,aat:300022458,,
loc:0ab43ae8-6421-4462-92d9-baf439512fbf,engraving,,aat:300041340,,
loc:60b5b0c5-afaf-4eea-96b7-953338ddfb3d,woodblock,,aat:300041405,,
loc:c0796744-7e9c-4521-9b67-63e22a8ddc57,facing,,aat:300053725,,
loc:e0c9f3ed-8b17-48bc-9a62-a9c247d022c4,agarose gel,,aat:300130954,,
loc:b2a7e932-d179-458a-8c00-7ace207a6954,Rhoplex,,aat:300151452,,
loc:993c18e0-8fb3-4789-8685-1949406e8edf,suede,,aat:300193368,,
loc:d2a385a1-f525-4b9c-83a4-5849c631c845,board edge consolidation,,aat:300219960,,
loc:8504f8fd-f834-4fb9-8636-e6e0b0bf17bb,media consolidation,,aat:300219960,,
loc:63b7ad04-90ad-4410-964e-114429e14897,silk,,aat:300243428,,
loc:fd0dcd79-f862-4a87-93ce-17277abfe83a,disbinding,,aat:300257594,,
loc:27a2f7a6-c9ed-42b2-bf1c-d3218ff35709,lining removal,,aat:300261522,,
loc:18738fbd-b109-4b9b-9c90-64e83b194673,edge coloring,,aat:300263617,,
loc:4fb0f637-22e5-40d7-aada-e40f9f08877d,amatl,,aat:300264681,,
loc:4d97c66a-6fea-463c-ad66-d60c0e2f076e,gold stamping,,aat:300379073,,
loc:c16d35e3-d869-46c8-9ab9-f3ba9c18fb39,EDTA,,aat:300379820,,
loc:a9b48f6a-223a-494c-98a0-74c85cd182a6,magnesium bicarbonate,,aat:300379872,,
loc:51a0aac3-9597-4ac2-a387-be99c8a3d038,B-72,,aat:300380470,,
loc:84bca2bb-0d13-4d55-884f-4cbb7b78025f,DMF,,aat:300389871,,
loc:96d08d51-8553-48a5-9fcf-17290dd60b8b,wooden boards,aat:300162666,,,
loc:832a6f76-36dc-4521-bd8f-ed5ce99855e3,gold,aat:300011021,,,
loc:2787cd6b-cd07-47ee-a0cd-dfb9d841bf65,graphite,aat:300011098,,,
loc:419818b8-0f71-41ca-ba3d-e3464ebd50e5,chalk,aat:300011727,,,
loc:773e0a72-8045-4b84-b0e5-12094f53558b,calcium hydroxide,aat:300011737,,,
loc:abf341f9-f5b6-432e-afe4-0bf0602a6e8d,water,aat:300011772,,,
loc:0d84bb4c-2503-4519-b8bd-6679bb5a5e92,gelatin,aat:300011812,,,
loc:5c1a66ed-5594-4120-8453-db9a4506a1bd,leather,aat:300011845,,,
loc:397b812c-cf26-4c87-991b-58677b4703a0,parchment,aat:300011851,,,
loc:65edc032-82ae-4808-b449-efa6a228a6ca,vellum,aat:300011852,,,
loc:982aee63-6edb-4184-b5fe-f906912aaf11,paper,aat:300014109,,,
loc:e84e1c09-8e85-498c-9811-9fc712c0a970,papyrus,aat:300014127,,,
loc:395066d5-d6f1-469b-bd06-08f12a5ec99a,laid paper,aat:300014184,,,
loc:d10e4374-db00-49eb-94f8-5033faac762b,wove paper,aat:300014187,,,
loc:adee3da6-556a-441e-9075-420d18efafaf,PVA,aat:300014507,,,
loc:98b2a250-5e08-4196-806b-f6bb46fdfd82,isinglass,aat:300014822,,,
loc:2dacfb85-947b-4616-8eab-8e041340dec7,acrylic paint,aat:300015058,,,
loc:a7dbe68a-8dfd-4842-aef7-078c093c2455,ethanol,aat:300015231,,,
loc:88a92c9d-ef3b-40b1-800f-0ec9b03a83a4,ethyl acetate,aat:300015261,,,
loc:7d20256f-55f7-4121-83b0-94c71b13fdc0,colored pencil,aat:300022441,,,
loc:7feda159-b858-4508-8c6e-ae76c4109d36,lithograph,aat:300041379,,,
loc:8281d90b-25c7-47cf-84e8-7d2ea8dc6bc7,surface cleaning,aat:300053027,,,
loc:06a37aa1-5505-4a84-ae13-0dafdd49dcfa,washing,aat:300053042,,,
loc:979ee8f9-f25e-4af7-9b54-b3047cd4e903,bleaching,aat:300053047,,,
loc:a96b5a7a-4884-4442-89e8-c5890cd25020,inpainting,aat:300053723,,,
loc:4ff5ec0f-b891-42fd-b805-2ea1b2adc04c,sizing,aat:300053874,,,
loc:6032dbc7-b830-4ebb-a3af-8f9496bb9912,gouache,aat:300070114,,,
loc:b18016ee-2ad0-492e-8ad3-5c6b73a21318,rice starch paste,aat:300212558,,,
loc:6962c43b-6702-4080-b1fa-706e5215a643,wheat starch paste,aat:300212564,,,
loc:9427a904-6d88-4b95-b064-86aba33178dd,dry cleaning,aat:300219637,,,
loc:bdcdeb57-dc47-4058-96c3-cfccea0f735b,consolidation,aat:300219960,,,
loc:6c600be0-dd45-4cdf-befd-230e2e82a11f,fixing/consolidation,aat:300219960,,,
loc:687ccb00-81d0-479f-9d72-044b91546825,flattening,aat:300226345,,,
loc:8152ba03-13d3-421d-a0d4-507bbe7ca072,humidification,aat:300226357,,,
loc:7ab02df9-5e78-454f-9536-963cac18f688,textile,aat:300231565,,,
loc:514f52d7-37a1-45a3-8dc6-a6ac9d0aecef,blind tooling,aat:300252855,,,
loc:acb60fc6-53b4-4120-8776-06dcaf06e25f,gold tooling,aat:300256003,,,
loc:c9718ed8-8891-4617-a239-94e5d09c3b45,mending,aat:300261722,,,
loc:af102085-70f2-402c-82e3-1ed349c2d6ec,bookcloth,aat:300262673,,,
loc:9831d1b6-b363-4a48-8c78-6015a913eddf,fore-edge painting,aat:300263621,,,
loc:13d682c4-bf88-4c06-a85f-1456180b6418,fills,aat:300264840,,,
loc:fb04f717-22f2-44b0-94f3-60064276ffef,rabbit skin glue,aat:300266365,,,
loc:7c11b404-e223-4865-9a47-3697d714bf8a,funori,aat:300379696,,,
loc:83291570-20bb-4f6e-b07d-2946ca5b8e78,Aquazol,aat:300380081,,,
loc:9b0aabbc-6d71-4e8d-9f61-f14db87a2d4e,sodium borohydride,aat:300380411,,,
loc:f8094889-33b5-4f52-a557-7b88e4240985,board slotting,aat:300386774,,,
loc:71f754eb-1ddd-4104-a17d-e7ad7fbda06e,paperboard,aat:300411320,,,
loc:e9350b60-96e4-488f-9f11-3a2c21079927,handmade paper,aat:300411543,,,
loc:6402063d-6d7c-4679-9016-a5d0b2ba0d58,newsprint,aat:300014137,,,
loc:36a8bf21-ec16-4aae-9864-b08a437956c4,hide glue,aat:300014823,,,
loc:c0503f7f-a29d-444c-8a43-9d4480be2a19,benzene,aat:300015244,,,
loc:91854a25-68bc-4b94-859c-085bd0b64021,toluene,aat:300015247,,,
loc:81ac5b9a-0d45-42b0-af7f-ecf7a597a509,xylene,aat:300015249,,,
loc:98593cb8-c7c9-4ad1-83d7-0c7e99d4e0d3,acetone,aat:300015269,,,
loc:dda34106-bb2d-4196-b010-da5bbfa78f8f,chromolithograph,aat:300041384,,,
loc:06fedf92-7130-4a78-8cd8-8a6c0c997b51,tooling,aat:300053876,,,
loc:082a5a60-5515-4936-80c8-2c3024c9cc6f,velvet,aat:300133711,,,
loc:73eba084-bb39-4076-9a71-3c83bc2c00bc,shagreen,aat:300192656,,,
loc:2d53412d-a88d-49c1-babd-5d37fe5d20c8,calcium carbonate,aat:300212174,,,
loc:75ca0bfb-f8e5-4342-8bd9-84e406696075,leafcasting,aat:300226579,,,
loc:464c7f88-a488-4590-b06b-85214a103e2c,ammonium hydroxide,aat:300266781,,,
loc:59520edb-4821-46fb-86ae-63a387f4ad58,hydrogen peroxide,aat:300379452,,,
loc:94de5f5a-cf26-4fca-9357-2c66caad02a4,calcium phytate,aat:300379928,,,
loc:a4e867b3-d919-4f4c-832c-fcd526c0061b,amylase ,aat:300380044,,,
loc:644a5b9f-e45a-462d-ad07-69941d848419,magnesium hydroxide,aat:300380295,,,
loc:a892b41b-31e4-48ec-bd0e-76079c4be9f0,Gellan gum,aat:300386433,,,
loc:2b639eae-6578-4b7e-8843-fa36c478dfbb,Berlin tissue,aat:300404901,,,
loc:fb2ece97-36da-4665-ab00-231ff33584c1,calcium bicarbonate,aat:300438725,,,
loc:16409fb9-75f8-4c95-8189-a129a07a668b,protease,aat:300438816,,,
loc:9c4129bf-8ef2-4d0d-b9b6-1c900befefe3,handmade Western paper,,,aat:300014109,
loc:32479873-0580-466f-927d-8503c1a1c363,Western paper,,,aat:300014109,
loc:46ab8e0c-0efa-4e39-8ab9-79bd56c8c58d,goat parchment,,,aat:300011851,
