ConceptScheme URI,http://w3id.org/loc-vocab/,,,,
PREFIX,loc,http://w3id.org/loc-vocab/,,,
PREFIX,cam,http://cameo.mfa.org/wiki/,,,
dc:creator,Library of Congress,,,,
dct:rights,https://creativecommons.org/licenses/by/4.0/,,,,
,,,,,
URI,skos:prefLabel@en,skos:exactMatch,skos:closeMatch,skos:broadMatch,skos:narrowMatch
loc:04ff4d5a-c298-4d97-af59-cb635604afb8,Acrysol,,cam:Acrysol,,
loc:9548f170-aec5-4f93-ae4a-2db51d1d71b3,Butvar resin,,cam:Butvar,,
loc:88a92c9d-ef3b-40b1-800f-0ec9b03a83a4,ethyl acetate,,cam:Ethyl_acetate,,
loc:a7dbe68a-8dfd-4842-aef7-078c093c2455,ethanol,,cam:Ethyl_alcohol,,
loc:da8604c5-47af-4010-838e-a7593b208be7,Ethulose,,cam:Ethylhydroxyethyl_cellulose,,
loc:46ab8e0c-0efa-4e39-8ab9-79bd56c8c58d,goat parchment,,cam:Goat_vellum,,
loc:b3adf4d9-7f27-451c-8e7e-956b762a2def,Klucel G,,cam:Klucel%C2%AE,,
loc:909830c8-7070-40bd-8e67-416514511f36,Klucel M,,cam:Klucel%C2%AE,,
loc:c63b6dff-1653-4bb2-907a-86ba56655ed6,Lascaux 498,,cam:Lascaux_Acrylic_Adhesive_498_HV,,
loc:e079e8a3-3b30-49a3-979d-37859f5d3fc1,Avanse/Plextol,,cam:Plextol%C2%AE_B-500,,
loc:b18016ee-2ad0-492e-8ad3-5c6b73a21318,rice starch paste,,cam:Rice_starch,,
loc:881009e9-746c-4878-90bc-e114f873a308,silk thread,,cam:Silk,,
loc:4d85d2ad-6db9-4b12-b7bb-019788aa96d8,alkalyzation,cam:Alkalization,,,
loc:fae541f0-675f-4957-8e83-64479cdae23c,Cellofas,cam:Cellofas,,,
loc:39ca6403-e95f-4c04-b723-d09db41b32df,Lascaux 303,cam:Lascaux_Acrylic_Adhesive_360_HV,,,
loc:8bc344e5-637a-469d-ba9c-858031d22862,phloroglucinol,cam:Phloroglucinol,,,
loc:9b0aabbc-6d71-4e8d-9f61-f14db87a2d4e,sodium borohydride,cam:Sodium_borohydride,,,
loc:d10e4374-db00-49eb-94f8-5033faac762b,wove paper,cam:Wove_paper,,,
