"ConceptScheme URI","https://w3id.org/mibact-sapienza/",,,,
"PREFIX","mbs","https://w3id.org/mibact-sapienza/",,,
"PREFIX","aat","http://vocab.getty.edu/aat/",,,
"dc:creator","Sapienza University of Rome",,,,
"dct:rights","https://creativecommons.org/licenses/by/4.0/",,,,
,,,,,
"URI","skos:prefLabel@en","skos:exactMatch","skos:closeMatch","skos:broadMatch","skos:narrowMatch"
"mbs:1","historic centres",,,,"aat:300387341"
"mbs:2","urban spaces",,,,"aat:300008072"
"mbs:3","urban units",,,,"aat:300264550"
"mbs:4","urban units-aggregates ","aat:300000202 ",,,
"mbs:5","urban units-residential or special isolated buildings",,,,"aat:300264550"
"mbs:6","building units","aat:300004790",,,
"mbs:7","building fronts","aat:300389894",,,
