"ConceptScheme URI","https://w3id.org/sul-vocab/",,,
"PREFIX","svc","https://w3id.org/sul-vocab/",,
"PREFIX","aat","http://vocab.getty.edu/aat/",,
"dc:creator","Stanford Libraries",,,
"dct:rights","https://creativecommons.org/licenses/by/4.0/",,,
,,,,
"URI","skos:prefLabel@en","skos:exactMatch","skos:closeMatch","skos:broadMatch"
"svc:d530ef46-cc1f-40f4-8e22-37c5b0bcfeef","wash (coloring type)","aat:300011051",,
"svc:bfdeca17-1eea-4145-b7e6-dc63bd8c0856","calcium hydroxide","aat:300011737",,
"svc:0b4585f5-b40f-4dc7-815e-f04138231528","leather","aat:300011845",,
"svc:d80937d9-f26d-490b-ac96-a97899e2a85b","pigskin","aat:300011849",,
"svc:deafea86-7599-4ce9-bb21-791c7d920d81","parchment","aat:300011851",,
"svc:12b65c7a-4c5b-49b8-ad0a-630d925d8ff8","vellum","aat:300011852",,
"svc:3e94b2cb-2051-4601-bc2a-0e74ae058600","cotton cloth","aat:300014067",,
"svc:c5312759-f3a1-49f8-bc49-e4c9fd6d8a91","linen","aat:300014069",,
"svc:fc647dde-2a7c-41d9-ba33-d8c3470d1664","paper","aat:300014109",,
"svc:df2392bd-3259-4778-8011-c4138fd69955","Japanese paper","aat:300014143",,
"svc:076c78e0-a66d-4864-8baf-d57888a894ca","mill board","aat:300014233",,
"svc:a572cac4-0520-4863-94bd-27cd51456cd9","pulp board","aat:300014242",,
"svc:b9fd32b8-b856-450d-8a14-5e335be1b943","tapes (sewing support)","aat:300014685",,
"svc:164fa62c-00c3-472b-8d5e-c70f36d0443e","adhesive","aat:300014801",,
"svc:6f71c7a3-c6a8-4418-b861-20fa60b24fbb","watercolor (material)","aat:300015045",,
"svc:99c4d402-e4aa-4ef7-889f-426fbde37f27","acrylics (coloring media)","aat:300015058",,
"svc:06e0a430-31a5-4871-b1cf-7b24cb576353","solvent","aat:300015217",,
"svc:5b2d378f-1868-4a12-9974-c52c6e89004d","size (material)","aat:300015312",,
"svc:a946c0a0-0479-43c8-b59b-211177322895","original","aat:300015644",,
"svc:3d1d4e72-e2d6-4252-ad5d-70a6008055e8","colored pencil","aat:300022441",,
"svc:8eb6c1c7-9ff7-4751-a6ff-02d586e96baa","conservation technician","aat:300025823",,
"svc:e2e991b4-c766-4053-a69a-c6a0c6930ffd","report","aat:300027267",,
"svc:f2ffb4ad-8d5e-4e68-8f54-788542b67ef1","plans","aat:300027297",,
"svc:d0f801a4-56a7-47a1-956c-c4e64324c02b","labels","aat:300028730",,
