ConceptScheme URI,http://w3id.org/sul-vocab/,,
PREFIX,svc,http://w3id.org/sul-vocab/,
PREFIX,bpg,http://www.conservation-wiki.com/wiki/,
dc:creator,Stanford Libraries,,
dct:rights,https://creativecommons.org/licenses/by/4.0/,,
,,,
URI,skos:prefLabel@en,skos:exactMatch,skos:closeMatch
svc:6d3a056b-9a62-407d-9546-cefeb5610faf,losses,bpg:Loss,
svc:b00b03db-a498-4627-b863-b892abcbbe05,powdery (leather condition state),bpg:Powdering,
svc:5b12f159-aafd-4f4c-b6a4-6bcfb47e1429,tape removal,bpg:Tape_removal,
svc:e8173325-216d-49b9-a645-81ea4f49e142,paper hinge,,bpg:BPG_Board_Reattachment#Japanese_Paper_Hinge
svc:fc52ee3a-cf73-407a-a3ea-430d9ac6fd2e,leaf attachment,,bpg:BPG_Leaf_Attachment_and_Sewing_Repair
svc:5c969c5c-9d42-4119-99fc-fc714df2608e,mold damage,,bpg:BPG_Mold
svc:398881b3-f39a-43ed-b379-51acb12a2526,vinyl eraser,,bpg:BPG_Surface_Cleaning#Eraser_Materials
