ConceptScheme URI,http://w3id.org/tna-vocab/,,,,
PREFIX,tna,http://w3id.org/tna-vocab/,,,
PREFIX,aat,http://vocab.getty.edu/aat/,,,
dc:creator,The National Archives,,,,
dct:rights,https://creativecommons.org/licenses/by/4.0/,,,,
,,,,,
URI,skos:prefLabel@en,skos:exactMatch,skos:closeMatch,skos:broadMatch,skos:narrowMatch
tna:13353476-3b05-415f-841c-a0bd31790990,bookbinding (process),aat:300053592,,,
tna:3fd4028c-a10e-43b2-9101-04c834410c70,books,aat:300028051,,,
tna:c34a470c-c436-40bb-8459-77ae25325fec,collations,aat:300311715,,,
tna:a1e1e12f-cafc-44d9-a4fe-cf08d0b277eb,color (perceived attribute),aat:300056130,,,
tna:da79539a-01e4-416b-95b7-382589c73a6b,conservation (process),aat:300404519,,,
tna:4f3deb49-37b7-4490-a34b-4b190751241c,conservators (people in conservation),aat:300102842,,,
tna:63829106-eb9c-4f44-923a-0a0c321b6783,description,aat:300080091,,,
tna:198f6540-e56f-49a2-b131-214e86297dc2,height,aat:300055644,,,
tna:c17b23dc-ddeb-45cd-9b1f-c9d6a7df15b1,mm,aat:300379097,,,
tna:3e71279b-ddd6-4649-a73a-b84b4d38dc97,solution,aat:300210311,,,
tna:9c81ba61-4ad7-4a1b-95d4-a0b672915a65,solvent,aat:300015217,,,
tna:7d32dfa8-863c-4669-8258-58476769c7ab,thickness,aat:300055646,,,
tna:27be7c46-35a3-471e-a707-427d395d2c8f,width,aat:300055647,,,
tna:e4bdf26c-2842-47bb-a1e3-b6230bdf7da5,Distilled Water,aat:300011777,,,
tna:ad864b6a-afdb-4099-95ea-2999c78bd658,Gelatin 100 bloom,aat:300011812,,,
tna:7c094306-8d80-4d98-919c-320204469a12,Gelatin 180 bloom,aat:300011812,,,
tna:1bcfbb93-1b25-4269-a11f-73048e321203,Gelatin 221 bloom,aat:300011812,,,
tna:1a6bfaa4-f40c-4129-b830-f39b1637cd4d,Gelatin 225 bloom,aat:300011812,,,
tna:dea55f4b-c66b-4d53-8598-6fc15c591662,Gelatin 287 bloom,aat:300011812,,,
tna:e592df48-2a7a-4f21-9367-0c4db8d9be79,Gelatin food grade,aat:300011812,,,
tna:dbfd798e-7eb9-4399-8a10-1e6bbb04ab0a,Gelatin granular powder G/0150/53,aat:300011812,,,
tna:af44d980-e432-4315-87f1-51d86b8069d9,Gelatin - not specified,aat:300011812,,,
tna:e1102fd2-bfda-49f5-9aa9-9a0d0827ba3f,Leather - not specified,aat:300011845,,,
tna:9ad7a54d-ed50-4442-a849-61490bd43f30,Leather - pig,aat:300011849,,,
tna:ae2f3a18-dae2-435f-b485-ebc1fc65ea3d,Parchment size,,aat:300011851,,
tna:e7e2a55a-913f-46e7-8fe7-9cd511e646a1,Vellum calf skin,aat:300011852,,,
tna:8985c330-cc4d-40dc-be1d-c00d92fc3f5a,Crepe Rubber Eraser,,aat:300012941,,
tna:9974f654-5dcc-463f-8c4a-e2a061c3ca52,Resin (colophony) pale amber,aat:300012950,,,
tna:4d866a55-2474-43dc-aca2-3e02255d65f8,Cartasol dyes,,aat:300013088,,
