ConceptScheme URI,http://w3id.org/bod-vocab/,,,,
PREFIX,bvc,http://w3id.org/bod-vocab/,,,
dct:title@en,Bodleian pilot vocabulary,,,,
dct:description@en,Vocabulary compiled for the pilot of LCD2,,,,
dc:creator,Bodleian Library,,,,
dct:rights,https://creativecommons.org/licenses/by/4.0/,,,,
,,,,,
URI,skos:prefLabel@en,skos:altLabel@en,skos:broader,skos:related,skos:scopeNote@en
bvc:78cc9968-a2f2-4fa1-b003-4ed8bb0e11d2,machine-made,,,,"Paper made on a machine that allows pulp to flow onto a moving and vibrating mesh or belt, thus forming a continuous strip that may be dried and pressed before being wound onto a roll for storage. Machine-made paper may exhibit laid lines, chain lines, and watermarks that mimic those of handmade paper."
bvc:41364e21-fe25-412f-b90a-5dc7a9b25962,paper,,,,"Refers generally to all types of thin matted or felted sheets or webs of fiber formed and dried on a fine screen from a pulpy water suspension. The fibers may be animal, such as hair, silk or wool, or mineral, such as asbestos, or synthetic. However most paper is made from cellulosic plant fiber, such as from wood pulp, grass, cotton, linen, and straw."
bvc:77f4e34a-635b-4f5c-a104-87fb6f7d8226,adhesive,,,,"A substance, in the form of a liquid, paste, powder, or dry film; used for sticking or adhering one surface to another. A substance capable of holding materials together by a surface attachment."
bvc:441cacde-d938-4a5c-b8a0-32dc87c4fd97,aerocotton,,,,"Woven cotton fabric used for the repair of books and manuscripts, from covering materials to spine linings. Since the 1980s the use of fabrics commonly referred to as ‘aerolinen’, ‘aerocotton’, or ‘airplane linen’ has become widespread. Originally employed in the manufacture of aircraft, it is their flexibility and strength, along with good fold endurance properties and tensile strength that have rendered them valuable to conservators."
bvc:f7fb9c05-d0eb-4414-a9f3-c8d6c04077fe,aerolinen,,,,"Woven linen fabric used for the repair of books and manuscripts, from covering materials to spine linings. Since the 1980s the use of fabrics commonly referred to as ‘aerolinen’, ‘aerocotton’, or ‘airplane linen’ has become widespread. Originally employed in the manufacture of aircraft, it is their flexibility and strength, along with good fold endurance properties and tensile strength that have rendered them valuable to conservators."
