"ConceptScheme URI","http://w3id.org/loc-vocab/",
"PREFIX","loc","http://w3id.org/loc-vocab/"
"dct:title@en","LoC conservation vocabulary",
"dct:title@fr",,
"dct:description@en","Library of congress conservation terminology for the LCD pilot",
"dct:description@fr",,
"dc:creator","Library of Congress",
"dct:rights","https://creativecommons.org/licenses/by/4.0/",
,,
"URI","skos:prefLabel@en","skos:scopeNote@en"
"loc:e645fa14-55fb-4aea-91f6-c47c534d858f","damaged","The process or activity of hurting, injuring, or otherwise causing damage, often in a way results in the lessening or loss of value of a thing."
"loc:50c84dff-95a7-414e-b5f0-2779182d95e9","inner joints","The inside of the hingeing area alongside the spine edge of a board or cover."
"loc:b5942287-d522-4848-8e61-acadf348c119","outer joints","The outside of the hingeing area alongside the spine edge of a board or cover."
"loc:11b77275-d0a0-4790-ac52-ec10fa7736bb","covering material","The material used as the primary or secondary cover of a binding."
"loc:dc378ea6-7cad-494a-ba42-31b4eda0742c","lifted","Partial rising of a topcoat such as a paint, solvent, or varnish layer, due to the break in adhesion to the undercoat or surface layer."
"loc:dbe22ff9-13ca-4907-9931-acea6e73c5a1","detached","Refers to objects either that have become separated or disconnected from objects to which they were an integral part, as ticket stubs, or, especially with reference to buildings, that are standing apart with no walls in common with other structures. To refer to sculpture or architectural and infrastructural elements that stand alone, prefer ""freestanding."""
"loc:71be10c9-0ee0-4008-a7b2-e59b121c7b79","broken","Splitting into pieces or smashing into parts or fragments, typically by a blow or stress and with suddenness or violence."
"loc:bcc78dc8-9637-455c-a2b7-e60099818a19","repaired","Restoring to a whole by replacing a part or putting together what is torn or broken, or otherwise restoring to sound condition."
"loc:1a0795d7-b397-41bb-87dc-ab4425773578","staining","Discolorations produced by the penetration of foreign matter into a fabric, wood, or coating. This term designates material damage and is not to be confused with a substance that is used as a protective coating or colorant."
"loc:edec7bcb-d127-4512-9f05-67b52435b12b","distortion","Bending or twisting out of shape, such as that caused by drying, dampness, or heat."
"loc:187b6d65-d706-44f9-85a7-0d4403851574","mold","Condition of having a conspicuous furry growth on the surface of organic materials, comprising a mass of mycelium (masses of vegetative filaments, or hyphae) and fruiting structures of various fungi. The most common species are of the genera Aspergillus (black, yellow, and orange) and Penicillium (green). Molds can excrete organic acids, such as citric, oxalic, gluconic, etc., that can damage the growth substrate, resulting in discoloration of dyed textiles, paper, and leather. They also produce colored bodies that discolor materials. Mold growth can be inhibited by fungicides or minimized by a clean environment that has sunlight, dry circulating air, and relatively low temperatures."
"loc:ff65e8b4-89f1-4a25-b44d-d955e8cb6e5d","acidic","The degree of acid content of a substance. Use particularly with reference to solutions having a pH value less than 7."
"loc:c84b2819-1865-4eb0-97c1-e842e2c7721c","ink","A fluid medium used for drawings or tracings. An opaque, usually black, pigment is mixed with a vehicle such as water to produce a fluid which can be applied with a pen or brush. Through the end of the 19th century, ink was supplied dried in stick or block form which was ground and mixed with water as needed. At the beginning of this century prepared ink became popular."
"loc:397089a9-ac53-45bb-a369-c7a24f6426e8","losses","Blank spaces or missing portions of a written or printed text, of the media or support of a two-dimensional object, or of paint or a coating on a three dimensional object; objects subject to lacunae include paintings, mosaics, manuscripts, and painted sculptures. Lacunae result from damage or accidental omission; intentional omissions are not called ""lacunae."""
"loc:d80a51e0-d6b6-493c-a5fd-eeb1a7979c02","cut","Book edges that have been smoothly cut with a guillotine or plough, so that they are flush with each other."
"loc:58e36a8f-b466-40aa-9df0-96f287468822","left","The place on the left of the centre of a book opened as if to be read. All the components or features of a binding on this side of the book can therefore be described as left (e.g. left board, left endleaves, etc.). This removes any confusion about what is the front board on books written in arabic or latin, for instance."
"loc:939ce072-0eb7-4ef6-aeb7-b698e71f4269","right","The place on the right of the centre of a book opened as if to be read. All the components or features of a binding on this side of the book can therefore be described as right (e.g. right board, right endleaves, etc.). This removes any confusion about what is the back board on books written in arabic or latin, for instance."
"loc:f21c96ad-3103-409b-90af-d083ed163e06","wood","The principal tissue of trees and other plants that provides both strength and a means of conducting nutrients. Wood is one of the most versatile materials known."
"loc:86c3a9ed-d44e-405d-bf1c-ebcbb91dddd2","attachments","The individual components used to complete the attachment of boards to bookblocks."
"loc:5a30f6da-467b-4b60-9b0c-67f9aa31c01e","boards","Boards are rigid or semi-rigid components made from one or more pieces of sheet material used to protect and support a bookblock. There will usually be at least two boards, one on each side of the bookblock. A piece of sheet material wrapped around the spine of a bookblock and covering each side, even though it may itself be covered by another material (see cover lining and laminated cover) does not create boards, which must always be separate. On small format books, the boards may be no more than pieces of thick paper, but they should still be described as boards. When two or more bookblocks are bound together as distinct units (multiple bookblock bindings), they will be separated by shared boards."
"loc:ce79bf79-6a53-4c50-84d6-e3a3a2da8090","sewing supports","Components placed across the spine of a bookblock to or through which the individual gatherings are sewn with thread. The most commonly encountered sewing supports are narrow strips of material around or across which the thread is taken when it emerges from the gatherings, but there are also pierced sewing supports, through which the thread is taken when the bookblock is sewn. Both can be found in many different shapes and sizes."
"loc:5d916c8f-31fc-48a4-9f3e-2f355f3392f3","guarding","Narrow strips of paper or parchment folded lengthways either to reinforce the folds of gatherings or endleaves (sewing guards) or to attach plates or tables to a textblock (extension guards)."
"loc:e371875c-61a0-4ccb-8371-44dfbe01d599","stain reduction","Removal of stains from textiles and other materials."
"loc:215b20ae-a874-4721-acd8-0987c038dcb6","charcoal","A black, porous carbonaceous material comprising the carbon-containing residue from burned wood (e.g., willow, maple, beech, linden or plum) or other organic containing materials such as bone, plants or animals. It is used as a drawing material, for filtering liquids or air, and for other purposes."
"loc:f71d7869-e425-413f-bd37-33c38e8d046f","etching","Prints made from an etched printing plate, which is a metal plate on which a design is made by coating the plate with an acid-resistant substance, creating a design in the coating, and then exposing the plate to acid, which etches the plate where the metal is exposed. For designs incised directly into a copper plate using a burin or graver, use ""engravings (prints)."""
"loc:3572aa95-7e9a-48f6-9e31-134f2dafb51b","filling of losses","Inserting material into a hole, crack, or cavity. In the specific context of mosaic conservation, the application of mortar or other material into an area of loss of the mosaic surface."
"loc:9360aee6-8c01-420e-8272-7c09bfffcaad","drying and flattening","Making free or nearly free of liquids. For the removal or deprivation of water, though other liquids may remain, use ""dehydration."""
"loc:a9d8c22d-2f97-4449-a7c1-129ab0d99102","iron gall ink","Drawing material prepared by binding carbon particles in gall extract (from an abnormal growth on oak trees), that when applied to paper darkens by oxidation."
"loc:80155d27-5aa6-4e7b-9d6d-1bd6a2f2ced1","lining","The process of stregthening or stabilizing by use of an inner layer, usually using paper or fabric. In conservation and other contexts, the process of reinforcing a work by applying a paper or fabric lining with an adhesive, sewing, or another method"
"loc:04356400-0ef6-4fa2-9a44-cb59df92147b","printer's ink","Generally, inks formulated specifically for the process of printing from plates or blocks. These usually consist of pigment suspended in an oil vehicle, combined with resin, solvent, adhesive and a drier, but there are countless recipes for printing inks dependent on the purposes for which they are intended."
"loc:6263a37f-1370-4c19-b232-c8190204436d","board","Stiff upper and lower covers of books comprising stiff, thick cardboard or other material, often covered with leather, cloth or another material."
"loc:97e158d7-3ca3-458e-9594-954b45e8e07b","binder's board","Stiff upper and lower covers of books comprising stiff, thick cardboard or other material, often covered with leather, cloth or another material"
"loc:967ee083-e63c-4f0f-b7dc-cc7e9fafce12","lining","Layer of material used to line the inner side or surface of something to reinforce or protect it."
"loc:0cb43f82-1414-4bea-8b22-dca1aa34430e","clasps","Fasteners made of two or more parts, often of metal, and consisting of separate interlocking hooking and catching elements that hold together two or more objects or complimentary parts of the same object."
"loc:55ebabda-4d92-4524-a306-e2290e7d714e","hinging","Flexible pieces of cloth, paper, or other material joining two separate parts and allowing a swinging motion of one or both of the members along a single axis. Examples include a paper or muslin stub used to affix a print to its mat, and in bookbinding, pieces placed between the two halves of an endpaper where the body of the book is fixed to its covers. Distinguished from ""joints (connections)"", which are the flexing exterior junctions of the spine and covers of books."
"loc:6ded13fd-8cfc-48d2-8afa-f26800d19689","methylcellulose","Refers to any methylated derivative of cellulose. Methyl cellulose is a white powder that swells in water and is used as a substitute for natural gums, functioning in various commercial contexts as emulsifying, thickening, or sizing agent, lubricant, and suspension aid. In textile and paper conservation, it is used as an adhesive and as a poulticing material for removal of stains."
"loc:c73f4b95-c0a8-4c9f-916b-1a6ed4a1f33d","sodium CMC","A water-soluble polymer, commonly known as carboxymethylcellulose (CMC), composed of the sodium salt of modified cellulose."
"loc:75fd4fee-032f-41ab-8968-191d2baa77a0","machine made paper","Paper made on a machine that allows pulp to flow onto a moving and vibrating mesh or belt, thus forming a continuous strip that may be dried and pressed before being wound onto a roll for storage. Machine-made paper may exhibit laid lines, chain lines, and watermarks that mimic those of handmade paper."
"loc:f095c279-10da-46b4-89f9-95fcbe591d30","sodium hydroxide","A white, deliquescent, water-soluble solid, NaOH, usually in the form of lumps, sticks, chips, or pellets, that upon solution in water generate heat. It is used for the manufacture of other chemicals, rayon, film, and in medicine as a caustic."
"loc:feff19c0-aa31-4378-ae08-57400892248a","leather (calf) ","The skin or hide of an animal that has been tanned to render it resistant to putrefication and relatively soft and flexible when dry. For composite material made from scrap leather pieces, use ""maril."""
"loc:f6e3f6ba-a3fb-4c70-9924-a149e95e8576","leather (goat)",
"loc:117be4d5-9536-49fb-90b0-3cc4779e12fa","leather (sheep)",
"loc:3524f46a-7d85-4578-b560-d2aa0f5f9498","sheep parchment","Translucent or opaque material made from calf, sheep, or goat skin which has been limed, dehaired, scraped, and dried under tension to produce a thin, strong material for writing, bookbinding, or other uses. For finer quality calf parchment, use ""vellum."" The terms parchment and vellum sometimes have been and still are both confused and used interchangeably."
"loc:66a80fd8-c482-4191-be88-5dd3b908742e","lead white conversion","Synthetically produced white pigment; the oldest and most historically important white pigment as it was the only white used in European easel painting until the nineteenth century. By the twentieth century, the use of lead white had been replaced with titanium dioxide."
"loc:2de08376-1314-4668-b0a7-8987ae3542b4","Asian paper","Refers to various types of handmade paper, particularly strong, handmade paper composed of long bast fibers derived from the paper mulberry (Broussonetia papyrifera), the gampi (Wikstroemia canascens) and the mitsumata (Edgeworthia papyrifera). Thin, translucent sheets of Japanese paper are often used as a reinforcing paper and hinges because of their strength, flexibility, and permanence. Specifically for paperlike material made from the pith of the rice paper tree, use ""rice paper."""
"loc:c1b9a003-6ef0-4070-8f64-a424beae016d","ink (other)","A fluid medium used for drawings or tracings. An opaque, usually black, pigment is mixed with a vehicle such as water to produce a fluid which can be applied with a pen or brush. Through the end of the 19th century, ink was supplied dried in stick or block form which was ground and mixed with water as needed. At the beginning of this century prepared ink became popular."
"loc:b5b0cb2b-243c-4200-b408-1e7016a30005","paint/pigment","Any dispersion of pigment in a liquid binder. Paint is applied with a brush, roller, sprayer, or by dipping and dries to form a decorative or protective film."
"loc:a3c95700-1325-4930-ae44-05e647a1e12f","watercolor","Transparent aqueous based paint produced by mixing ground pigments with water and, generally, gum arabic; paints made with vegetable gum binders were used by Egyptian, Greek, and Roman artists for wall paintings. Japanese and Chinese painters extensively used watercolor paints on silk panels and delicate paper scrolls. In the 16th through18th century, watercolor paints were used for miniature illustrations on porcelain, ivory, cards, books and manuscripts. By the 18th and early 19th centuries, watercolors rapidly increased in popularity due to the availability of small cakes of watercolor paints in metal pans, usually applied to a paper support by using a brush."
"loc:bcf568a8-1f37-4406-884c-c1ad14fbaceb","isopropanol","Common liquid secondary alcohol, and the first commercial synthetic alcohol. Synthesized by the hydration of propylene. Frequently used as an antiseptic, and in cosmetics. In industry it is used as a solvent and to produce acetone."
"loc:76982320-64fb-4cf9-afb8-61368bde16b7","MEK","A colorless, toxic, flammable, vinyl resin liquid solvent with a flash point of 24-30 degrees Fahrenheit. It is used as a solvent for cellulose nitrate lacquers, vinyl films, acrylic coatings, inks, and alkyd (Glyptal) resins. It is also used as a component in paint removers and cleaning fluids. It does not dissolve cellulose acetate or most waxes."
"loc:916bb481-c1ab-4570-a9a1-5a6ffc4d6eec","crayon","Black or colored crayons, usually in stick form, usually with peel-off paper casing, but also made as unbound sticks as inserts for mechanical pencil mechanisms."
"loc:ba8b789a-897f-479e-a3f1-ada7dc854ffa","ballpoint pen","Pens with a writing tip made of a metal ball that is housed in a socket, which allows the ball to rotate freely when pressed against a writing surface, releasing a quick-drying ink. The ball is constantly bathed in ink from a reservoir, one end of which is open and attached to the writing tip. Commercial models of the pen appeared in 1895 and it became popular beginning in the 1930s. It was first patented by Lázló Bíró."
"loc:dfc4dc7d-b28d-4d20-ab18-9dca40ab3db9","pen","Pens with a writing tip made of a metal ball that is housed in a socket, which allows the ball to rotate freely when pressed against a writing surface, releasing a quick-drying ink. The ball is constantly bathed in ink from a reservoir, one end of which is open and attached to the writing tip. Commercial models of the pen appeared in 1895 and it became popular beginning in the 1930s. It was first patented by Lázló Bíró."
