"ConceptScheme URI","https://w3id.org/sul-vocab/",,,,
"PREFIX","svc","https://w3id.org/sul-vocab/",,,
"dct:title@en","Stanford Libraries vocabulary",,,,
"dct:description@en","Stanford Libraries vocabulary compiled for the LCD pilot",,,,
"dc:creator","Stanford Libraries",,,,
"dct:rights","https://creativecommons.org/licenses/by/4.0/",,,,
,,,,,
"URI","skos:prefLabel@en","skos:altLabel@en","skos:broader","skos:related","skos:scopeNote@en"
"svc:99c4d402-e4aa-4ef7-889f-426fbde37f27","acrylics (coloring media)",,,,"Paint consisting of pigments or dyes bound in an emulsion of acrylic, which is a colorless, transparent, thermoplastic synthetic resin made by the polymerization of acrylic acid derivatives."
"svc:e01c1e07-facb-4118-a4c2-8e584b462008","adhesion",,,,"The joining of two surfaces by means of a generally viscous, sticky composition such as an adhesive or through physical or chemical force."
"svc:164fa62c-00c3-472b-8d5e-c70f36d0443e","adhesive",,,,"A substance, in the form of a liquid, paste, powder, or dry film; used for sticking or adhering one surface to another. A substance capable of holding materials together by a surface attachment."
"svc:4705ae4f-02e7-4b56-85b3-6376c8418841","adhesive tape",,,,"A tape coated on one side with an adhesive mixture that adheres to a surface through the use of light pressure, as distinguished from tape used with adhesive that requires the addition of moisture or another solvent to adhere. The substrate may be cloth, paper, cellophane, cellulose acetate, or other synthetic polymer. Pressure sensitive tapes were first developed in 1845 by Dr. Horace Day using a natural rubber adhesive on strips of cloth for use in medicine). Automobile manufacturers began using masking tapes in 1925. Cellophane tapes were introduced by 3M in 1930."
"svc:915ae58b-9d7e-4233-8420-9744a2748e0e","aqueous",,,,"Use to describe materials, solutions, or treatments that involve water."
"svc:fa8e051d-a12f-49a8-a10f-7a3195054ea4","blotter",,,,"An absorbent paper used to soak up excess liquids and moisture, especially ink on writing paper. The unsized paper is bulky and porous with very little strength. There is a wide variety of blotting paper available ranging from high grade rag papers to chemical and mechanical pulp papers. Most are acid-free with a neutral pH."
"svc:f317e042-7bf6-43bd-a313-6e35a1e96aba","cloth",,,,"Generally, textile that is woven, felted, knit, pounded, or otherwise made into a flat piece. For textile in the form of continuous strands made from filaments of fiber by reeling, spinning, twisting, or throwing, see ""yarn."""
"svc:3d1d4e72-e2d6-4252-ad5d-70a6008055e8","colored pencil",,,,"Pencils with colored cores made from pigmented wax or other compound materials, rather than graphite."
"svc:e9fefb5c-2ed2-4dfd-aea0-33a782b1f063","coloring",,,,"The process of adding color, or changing or altering the color of something, whether by penetrating or coating it. For the state of having color, use ""colored (perceived attribute)."""
