ConceptScheme URI,http://w3id.org/sul-vocab/,,,,
PREFIX,svc,http://w3id.org/sul-vocab/,,,
dct:title@en,Stanford Libraries vocabulary,,,,
dct:description@en,Stanford Libraries vocabulary compiled for the LCD pilot,,,,
dc:creator,Stanford Libraries,,,,
dct:rights,https://creativecommons.org/licenses/by/4.0/,,,,
,,,,,
URI,skos:prefLabel@en,skos:altLabel@en,skos:altLabel@en,skos:altLabel@en,skos:scopeNote@en
svc:b9446e20-b8fe-4101-81a0-10d9ba4549b1,video (documentation),,,,"Manifestations of motion pictures, stored electronically, in any media."
svc:fa8e051d-a12f-49a8-a10f-7a3195054ea4,blotter,,,,"An absorbent paper used to soak up excess liquids and moisture, especially ink on writing paper. The unsized paper is bulky and porous with very little strength. There is a wide variety of blotting paper available ranging from high grade rag papers to chemical and mechanical pulp papers. Most are acid-free with a neutral pH."
svc:70dac390-06d8-44e5-a342-14862bcacce0,condition,,,,"Preservation survey (also known as condition survey, conservation needs survey or preservation assessment) is the process of collecting and analyzing data about the physical condition of library materials. Preservation surveys are used by libraries to determine the condition of their collections and identify necessary actions for preserving, conserving or repairing materials. They are most often conducted at research and university libraries."
svc:5c969c5c-9d42-4119-99fc-fc714df2608e,mold damage,,,,
svc:b3a90756-a866-4043-be31-e71786f95d4c,PVA,,,,"Synthetic resin derived from the polymerization of vinyl acetate. Used primarily as the filming agent in water-based paints, and also as an ingredient in adhesives."
svc:f46e7ddf-9323-4962-a966-79d3f6a9292f,recto,,,,"The front or obverse sides of a leaf; the right-hand pages of an open book or manuscript. Thus, refers to the principal side of sheets of paper."
svc:c9c5e34b-0c12-4f15-919c-898a2ca0e41a,stain,,,,"Discolorations produced by the penetration of foreign matter into a fabric, wood, or coating. This term designates material damage and is not to be confused with a substance that is used as a protective coating or colorant."
svc:26a72328-77c2-4af3-b490-78af2e18a301,verso,,,,"The reverse or subordinate sides of leaves or sheets of paper, including the left-hand page of an open book. For the front side of a leaf, use ""rectos."" Use ""reverses"" for the back, underside, or subordinate surface of coins, medals, seals, or currency notes."
svc:d0ff8817-9098-449c-b964-51f8a4487e3d,adhesive only (binding),,,,"Bindings in which the gatherings are held together by adhesive only, without any form of sewing or stitching."
svc:acfc5013-3a98-4cef-b7f9-b53d8b0866f9,back,,,,"Use to describe something situated at the part of an object that is opposite to its front or to its most important or useful surface. To refer to these parts themselves, use ""backs (portions)"" from the Components hierarchy."
svc:bfaaba8b-e85a-4e1f-9bd1-4abbc4de975a,broken,,,,"Splitting into pieces or smashing into parts or fragments, typically by a blow or stress and with suddenness or violence."
svc:d29b09b8-f74a-4040-bd46-586324df566b,case paper,,,,"A thick cover paper made by hand in a single sheet from pulp with very long fibres, and heavily sized with gelatine."
svc:0e7a96db-97f7-44e8-8b7d-3030a86dfdb1,sewn around first and last sections (technique),,,,
svc:b3eaf2b6-1241-407e-90a3-7732cdf052d9,front,,,,"Positional attribute used to describe something situated at or near the forward or most important part of something. To refer to those parts themselves, use ""fronts"" from the Components hierarchy. For the sense of facing the viewer, as a figure in a picture, use ""frontal."""
svc:3cbfeb17-161d-449c-ab89-cabe8c965de7,full binding,,,,"The covering material extends around the spine from fore-edge to fore-edge. A full cover can, but does not always, have turn-ins"
svc:3a8df669-feaf-4736-8c58-dae6249cb5d6,full spine (spine linings),,,,"Spine linings cut to the width of the spine and which extend from (or close to) the head to the tail of the spine. Such linings were often used on smooth spines created by unsupported sewing or recessed-support sewing, but are occasionally found over raised supports, in which case the lining will be moulded over the supports."
svc:485f3bec-2d30-4911-b3ee-d0f43761265e,gouache,,,,"A matte, opaque watercolor paint typically having gum arabic, gum senegal, or dextrin as a binder. Gouache paints differ from watercolor paints, which use transparent pigments. Chalk and other white fillers may be added to some colors. Gouache was used for miniature paintings in the 16th-18th centuries, for decorative paintings on interior walls, and for printing wall paper patterns. Poster paints are an inexpensive version of gouache. The term originally had a different meaning, referring to oil applied on top of tempera painting."
svc:ff021026-2658-4b2c-a22e-400db1d0e429,half binding,,,,Bindings in which the spine and the corners of the cover are of one material and the remainder of the sides of another.
svc:bc0e5c58-aaa5-4e85-8a94-892871b00a9e,head and tail (spine linings),,,,"A square or rectangular lining which more or less exactly covers the spine between the joints and two adjacent sewing supports. In the panels at head and tail, the panel linings extend to the end of the spine, though in some sixteenth-century bindings, the panel linings at head and tail were divided into two to expose the change-over station, perhaps with the intention of disguising the bump created by the kettlestitches."
svc:fc52ee3a-cf73-407a-a3ea-430d9ac6fd2e,leaf attachment,,,,"The sewing or ""leaf attachment"" of a volume consists of one or more of the techniques used to connect the individual leaves or gatherings (groups of leaves folded together) of the text block to each other. These techniques include: adhesive attachment; guarded leaf attachment; mechanical attachment; sewing; and stitched attachments."
svc:71c903ed-4b6c-430c-8ffd-a842d3d501f7,metal fasteners,,,,
svc:076c78e0-a66d-4864-8baf-d57888a894ca,mill board,,,,"Couched laminates were made by couching sheets of paper one on top of the other straight from the papermaker's vat, relying on the hydrogen bonds formed between the sheets to hold them together, reinforced by heavy pressing after couching. Because such boards were made in paper mills, they are also known as millboard, though this term has been so generally used of all paper boards in the literature that it has largely lost its specific meaning. Couched-laminate boards made from sheets of a cream- or grey-coloured paper were introduced after adhesive laminates, but are found by the end of the fifteenth century and become more common in all parts of Europe through the sixteenth century. They were used in Britain but not in large quantities until the introduction of couched laminates made from rope-fibre in the last quarter of the seventeenth century, which remained in widespread use in Britain only through to the nineteenth century. The surfaces of the boards may bear the impression of the screens on which they were made, which may have the appearance of a woven screen of varying degrees fineness or coarseness (textile?) or a laid pattern, again of varying qualities. They can often be distinguished from paste laminates where damaged corners are visible. The layers of paper separate leaving fibres attached between and to the separating surfaces, whereas paste laminates tend to break down cleanly into their separate layers."
svc:747d53c1-7759-4ad2-b90c-e1009360acdb,rope board,,,,An organic fibre used for making brown wrapping paper and book boards from the late 17th century derived from rope discarded from ships.
svc:ccfae07a-8ec5-497b-a39c-ef928d4746fa,scabbard,,,,"The thin wooden boards, which are only slightly thicker than modern pasteboard, made of oak, maple, or birch wood, and used by bookbinders in Colonial America in lieu of paper boards, principally because of their availability and ease of use. It was used, even after paper became generally available, for the cheaper sort of work well into the 19th century. Scaleboard is not to be compared with the pasteboard of earlier times, which was sometimes very thick"
svc:ab554929-a2eb-4c05-a709-40bb76be7037,textblock,,,,"Those parts of a book consisting of the stack of leaves or gatherings to be bound, exclusive of the materials, such as endpapers or boards, that are added in binding."
svc:398881b3-f39a-43ed-b379-51acb12a2526,vinyl eraser,,,,"PVC-based erasers, often called vinyl erasers, tend to be white in color, and can be purchased in block or powdered form. Major components are polyvinyl chloride, phthalate plasticizer, and calcium carbonate."
svc:e8173325-216d-49b9-a645-81ea4f49e142,paper hinge,,,,"Method: surface-adhered strips of Japanese paper, running the whole length of the outer joint and the inner hinge.  This style of repair was refined as a conservation technique by Don Etherington in the 1980's and is now a common technique used for circulating and special collections."
svc:25877fc0-3453-4fcc-b90b-c2f5c2841a8d,barcode,,,,Optical machine-readable representation of data relating to the item to which it is attached.
svc:dc110074-ea64-49ca-865c-b866a264d112,catkey,,,,Identifier established locally and not a standard number.
svc:28acc7d7-c73e-4c73-b58a-8626bb9a1878,completion,,,,The act or process of finishing something as in an architecutral context; completion of a protracted building campaign such as the construction of a cathedral.
svc:8850c675-f1ee-4a0a-84b3-909e5c7340eb,conservation,,,,"The action or process of conserving for the preservation of existence, state, life, health, safeguarding from destructive influences, natural decay, or waste. May apply to conserving a building, object, environment, species, or other thing."
svc:8eb6c1c7-9ff7-4751-a6ff-02d586e96baa,conservation technician,,,,Practical specialists in the technical details of a subject or occupation.
svc:62dd227f-a244-4695-b9d1-fad4069718a0,conservator,,,,"People responsible for treatment, preventive care, and research directed toward the long-term safekeeping of cultural and natural heritage. For those engaged in making changes to an object or structure in order to prevent further deterioration, see ""preservationists."" For those who make changes to an object or structure so as to closely approximate its state at a specific time in its past, see ""restorers."""
svc:eb31cd51-b81b-41b2-b661-bbb085c1119e,copy,,,,Specific specimens of a given written or printed work; may be issued in multiples as an edition.
svc:be27ef65-2fc9-4f4a-92d6-7b8233b299a4,date,,,,"Date designation associated with a resource or element of description, such as date of title variation; year a degree was awarded; date associated with the publication, printing, distribution, issue, release or production of a resource. May be date typed."
svc:6c563cf3-b63b-4043-b6bf-352197eed87c,enumeration,,,,Numbering or other enumeration associated with issues or items held.
svc:2b84d6f8-9e8a-4972-8183-e1c8757f750c,note,,,,"Information, usually in textual form, on attributes of a resource or some aspect of a resource."
svc:42b5a77f-1515-497d-98a0-ee8e926c332b,photodoc,,,,An act of documentation via photography to record the conditon or state of an object or the status of a project. Examples include excavations or art conservation treatments.
svc:3fa5ac26-ad6b-4da1-8334-f77a3491fe5b,publication,,,,Information relating to publication of a resource.
svc:e2e991b4-c766-4053-a69a-c6a0c6930ffd,report,,,,"Official or formal records of a special investigation, in the form of documents containing presentations of facts, proceedings, investigations, or events."
svc:d123dfa2-86b1-49a4-93f0-c8828f206da2,short title,,,,"Titles that describe what a work is of or about. In art cataloging, descriptive titles are intended to adequately describe what the work is or what the iconography depicted in the work represents. In retrieval, it is designed to be used with other information about the work to uniquely distinguish it from other works in the same results list."
svc:1f04c8cc-64c2-4f84-ba77-a6cfbbe6f8a8,title,,,,Title being addressed. Possible title component.
svc:95545ef7-cbdd-4ed2-a609-dc18f1f231ee,unique identifiers,,,,"Numbers or alphanumeric codes that are not repeated within a given environment and used to unambiguously and uniquely identify an object, record, or data element."
svc:9086f43b-2e3f-429d-9dc3-961e97b9befd,volume,,,,"Objects comprising sheets of paper, vellum, papyrus, or another material that are bound together. Volumes may include printed books, manuscripts, sketchbooks, or albums. Where the parts of a historical volume have been dispersed, records for the individual sheets may be linked as a historical volume for research purposes. Given that an album contains individual drawings, prints, or other art works that have been mounted, the drawings, etc. in an album may be cataloged as items and linked to the record for the volume. For intact books, manuscripts, and sketchbooks, the illuminations or other parts may be better cataloged as components rather than items. The term may also refer to a separately bound portion or division of a written work or series that is divided into two or more sections, each contained in a separate binding; generally, multiple volumes of the same work or series are of similar dimensions and contained in similar bindings."
svc:99c4d402-e4aa-4ef7-889f-426fbde37f27,acrylics (coloring media),,,,"Paint consisting of pigments or dyes bound in an emulsion of acrylic, which is a colorless, transparent, thermoplastic synthetic resin made by the polymerization of acrylic acid derivatives."
svc:e01c1e07-facb-4118-a4c2-8e584b462008,adhesion,,,,"The joining of two surfaces by means of a generally viscous, sticky composition such as an adhesive or through physical or chemical force."
svc:164fa62c-00c3-472b-8d5e-c70f36d0443e,adhesive,,,,"A substance, in the form of a liquid, paste, powder, or dry film; used for sticking or adhering one surface to another. A substance capable of holding materials together by a surface attachment."
